	protractor_A
t	θ
0,000000E0	2,479124E1
3,331111E-2	2,479124E1
6,661111E-2	2,479124E1
9,992222E-2	2,479124E1
1,332333E-1	2,479124E1
1,665444E-1	2,479124E1
1,998556E-1	2,479124E1
2,331667E-1	2,479124E1
2,664667E-1	2,479124E1
2,997778E-1	2,479124E1
3,330889E-1	2,479124E1
3,664000E-1	2,278100E1
3,997111E-1	1,784975E1
4,330222E-1	1,262598E1
4,663333E-1	6,878933E0
4,996333E-1	9,222366E-1
5,329444E-1	-3,509512E0
5,664333E-1	-7,936447E0
5,997333E-1	-8,736710E0
6,330444E-1	-8,736710E0
6,663556E-1	-6,732599E0
6,996667E-1	-5,508637E0
7,329111E-1	-3,503908E0
7,662111E-1	8,391591E-1
7,995222E-1	2,800114E0
8,328333E-1	4,359164E0
8,661444E-1	5,463115E0
8,994556E-1	3,922369E0
9,327667E-1	8,122218E-1
9,660667E-1	-1,536672E0
9,993778E-1	-2,321202E0
1,032756E0	-4,675382E0
1,066067E0	-6,242385E0
1,099311E0	-7,414692E0
1,132622E0	-5,040959E0
1,165933E0	-4,654185E0
1,199233E0	-3,106027E0
1,232544E0	-1,557869E0
1,265856E0	7,080477E-1
1,299167E0	2,226132E0
1,332478E0	3,736746E0
1,365678E0	3,736746E0
1,398989E0	3,736746E0
1,432300E0	2,982501E0
1,465611E0	1,467894E0
1,498922E0	-5,314458E-2
1,532233E0	-1,578502E0
1,565433E0	-3,487993E0
1,598744E0	-5,015180E0
1,632056E0	-5,777892E0
1,665356E0	-5,777892E0
1,698667E0	-3,482968E0
1,731978E0	-2,357105E0
1,765289E0	-5,034649E-1
1,798600E0	2,170933E-1
1,831844E0	4,927410E-1
1,865144E0	8,268692E-1
1,898356E0	1,156584E0
1,931667E0	1,156584E0
1,964978E0	1,156584E0
1,998289E0	-6,164742E-1
2,031589E0	-1,691604E0
2,064900E0	-1,691604E0
2,098211E0	-2,398708E0
2,131411E0	-3,106027E0
2,164722E0	-3,106027E0
2,197967E0	-3,106027E0
2,231178E0	-7,058126E-1
2,264378E0	-3,797161E-1
2,297589E0	2,803072E-1
2,330900E0	9,316835E-1
2,364211E0	1,266904E0
2,397511E0	1,266904E0
2,430822E0	1,266904E0
2,464133E0	2,604336E-1
2,497544E0	-4,117428E-1
2,530956E0	-1,421343E0
2,564267E0	-1,758140E0
2,597578E0	-3,106027E0
2,630889E0	-3,772227E0
2,664200E0	-3,772227E0
2,697511E0	-3,435310E0
2,730811E0	-2,118267E0
2,764122E0	-1,131093E0
2,797433E0	1,459185E-1
2,830744E0	4,703073E-1
2,864056E0	1,442015E0
2,897367E0	1,765364E0
2,930667E0	1,765364E0
2,963978E0	1,459185E-1
2,997289E0	-1,786791E-1
3,030600E0	-1,786791E-1
3,063911E0	-8,284181E-1
3,097111E0	-2,129489E0
3,130422E0	-2,129489E0
3,163733E0	-2,129489E0
3,197044E0	-2,129489E0
3,230356E0	-2,129489E0
3,263667E0	-8,284181E-1
3,296967E0	-5,034649E-1
3,330278E0	4,302263E-1
3,363589E0	7,507739E-1
3,396900E0	7,507739E-1
3,430211E0	7,507739E-1
3,463522E0	1,094569E-1
3,496933E0	-5,326676E-1
3,530244E0	-1,175440E0
3,563656E0	-1,811428E0
3,596967E0	-1,811428E0
3,630333E0	-2,135005E0
3,663644E0	-1,832997E0
3,696956E0	-1,217839E0
3,730267E0	-9,034289E-1
3,763511E0	3,893037E-2
3,796711E0	3,526972E-1
3,829922E0	1,292678E0
3,863133E0	2,230293E0
