,protractor A
t,
0,000
0,033
0,067
0,100
0,133
0,167
0,200
0,233
0,266
0,300
0,333
0,366
0,400
0,433
0,466
0,500
0,533
0,566
0,599
0,633
0,666
0,699
0,733
0,766
0,799
0,833
0,866
0,899
0,932
0,966
0,999
1,032
1,066
1,099
1,132
1,166
1,199
1,232
1,266
1,299
1,332
1,365
1,399
1,432
1,465
1,499
1,532
1,565
1,599
1,632
1,665
1,698
1,732
1,765
1,798
1,832
1,865
1,898
1,932
1,965
1,998
2,031
2,065
2,098
2,131
2,165
2,198
2,231
2,265
2,298
2,331
2,365
2,398
2,431
2,464
2,498
2,531
2,564
2,598
2,631
2,664
2,698
2,731
2,764
2,797
2,831
2,864
2,897
2,931
2,964
2,997
3,031
3,064
3,097
3,130
3,164
3,197
3,230
3,264
3,297
3,330
3,364
3,397
3,430
3,463
3,497
3,530
3,563
3,597
3,630
3,663
3,697
3,730
3,763
3,797
3,830
3,863
